asset_class,ideas_total,ideas_pass,pass_rate,pass_with_realized_5d,avg_idea_score_pass,avg_edge_ratio_pass,realized_5d_mean_pct,realized_5d_hit_rate
crypto,976,431,0.4415983606557377,411,1.5915506005890059,2153.602381938238,0.4771118323099515,0.51338199513382
forex,488,63,0.1290983606557377,30,1.6584622284004582,14560.937244773022,-0.19914458132211932,0.43333333333333335
metal,732,86,0.11748633879781421,42,1.6333635497904027,7060.8627052592155,1.9355814039670811,0.7142857142857143
stock,1220,64,0.05245901639344262,0,1.619441298866636,7339.057001300888,,
