,M_t,F_t,C_t,Q_t,REPORT_VALID,event_risk_multiplier
2025-06-01 00:00:00-04:00,-0.07351094471490435,0.0,0.9926489055285096,1.0,True,1.0
2025-06-02 00:00:00-04:00,-0.07351094471490435,0.0,0.9926489055285096,1.0,True,1.0
2025-06-03 00:00:00-04:00,-0.07351094471490435,0.0,0.9926489055285096,1.0,True,1.0
2025-06-04 00:00:00-04:00,-0.07351094471490435,0.0,0.9926489055285096,1.0,True,1.0
2025-06-05 00:00:00-04:00,-0.07351094471490435,0.0,0.9926489055285096,1.0,True,1.0
2025-06-06 00:00:00-04:00,-0.07517916140869649,-0.03515521117732417,0.988966562741398,1.0,True,1.0
2025-06-07 00:00:00-04:00,-0.07670836004467263,0.026871680604968577,0.9919456740396128,1.0,True,1.0
2025-06-08 00:00:00-04:00,-0.07670836004467263,-0.03461047045189565,0.9888681169503433,1.0,True,1.0
2025-06-09 00:00:00-04:00,-0.07670836004467263,-0.007356370079749425,0.9915935269875578,1.0,True,1.0
2025-06-10 00:00:00-04:00,-0.07670836004467263,0.0655698094512761,0.9932768313649698,1.0,True,1.0
2025-06-11 00:00:00-04:00,-0.07670836004467263,0.1764201895878081,0.9816304835655694,1.0,True,1.0
2025-06-12 00:00:00-04:00,-0.07811522278977068,0.11840701684781799,0.9917209246630078,1.0,True,1.0
2025-06-13 00:00:00-04:00,-0.07811522278977068,-0.025456779086658846,0.989642799812357,1.0,True,1.0
2025-06-14 00:00:00-04:00,-0.07811522278977068,-0.003331688612267859,0.9918553088597961,1.0,True,1.0
2025-06-15 00:00:00-04:00,-0.07811522278977068,-0.07726547636963338,0.9844619300840596,1.0,True,1.0
2025-06-16 00:00:00-04:00,-0.07811522278977068,-0.0730023216864074,0.9848882455523822,1.0,True,1.0
2025-06-17 00:00:00-04:00,-0.07941386532370731,-0.026468221966792244,0.9894117912709501,1.0,True,0.8
2025-06-18 00:00:00-04:00,-0.07941386532370731,0.024092875256969938,0.9938497571984248,1.0,True,1.0
2025-06-19 00:00:00-04:00,-0.08061631211438941,-0.013533333451765233,0.9905850354433845,1.0,True,1.0
