,daily_returns
2025-11-10 00:00:00-05:00,0.0106443547915549
2025-11-11 00:00:00-05:00,-0.005829919048458643
2025-11-12 00:00:00-05:00,0.0020882759644060833
2025-11-13 00:00:00-05:00,-0.007005752845387181
2025-11-14 00:00:00-05:00,0.0
2025-11-17 00:00:00-05:00,0.0
2025-11-18 00:00:00-05:00,0.029512453304977315
2025-11-19 00:00:00-05:00,0.0
2025-11-20 00:00:00-05:00,-0.0006222970575107123
2025-11-21 00:00:00-05:00,0.0
2025-11-24 00:00:00-05:00,-0.0016811720381848527
2025-11-25 00:00:00-05:00,-0.012375687492850451
2025-11-26 00:00:00-05:00,0.0
2025-11-27 00:00:00-05:00,0.0
2025-11-28 00:00:00-05:00,0.0
2025-12-01 00:00:00-05:00,0.0
2025-12-02 00:00:00-05:00,0.0
2025-12-03 00:00:00-05:00,-0.0010423915734585343
2025-12-04 00:00:00-05:00,0.0
2025-12-05 00:00:00-05:00,0.0
2025-12-08 00:00:00-05:00,-0.014070971230095375
2025-12-09 00:00:00-05:00,0.0
2025-12-10 00:00:00-05:00,0.004214456631789432
2025-12-11 00:00:00-05:00,0.0
2025-12-12 00:00:00-05:00,-0.025120680081896607
2025-12-15 00:00:00-05:00,0.0
2025-12-16 00:00:00-05:00,-0.0036688807369615883
2025-12-17 00:00:00-05:00,-0.0229264261247909
2025-12-18 00:00:00-05:00,0.0004821607532068395
2025-12-19 00:00:00-05:00,0.0
2025-12-22 00:00:00-05:00,0.0
2025-12-23 00:00:00-05:00,0.0027413445927533253
2025-12-24 00:00:00-05:00,0.0
2025-12-25 00:00:00-05:00,0.0
2025-12-26 00:00:00-05:00,0.0
2025-12-29 00:00:00-05:00,0.013714533378542226
2025-12-30 00:00:00-05:00,0.0
2025-12-31 00:00:00-05:00,0.0
2026-01-01 00:00:00-05:00,0.0
2026-01-02 00:00:00-05:00,0.0
2026-01-05 00:00:00-05:00,0.0
2026-01-06 00:00:00-05:00,0.0
2026-01-07 00:00:00-05:00,-5.201426266276954e-05
2026-01-08 00:00:00-05:00,-0.017660663788111708
2026-01-09 00:00:00-05:00,0.0
2026-01-12 00:00:00-05:00,0.022030704261587708
2026-01-13 00:00:00-05:00,-0.016549802260911406
2026-01-14 00:00:00-05:00,0.012922434513814807
2026-01-15 00:00:00-05:00,-0.010887775481608242
2026-01-16 00:00:00-05:00,0.0
2026-01-19 00:00:00-05:00,0.0
2026-01-20 00:00:00-05:00,0.0
2026-01-21 00:00:00-05:00,0.005154959586502805
2026-01-22 00:00:00-05:00,0.0
2026-01-23 00:00:00-05:00,0.0032771503939328372
2026-01-26 00:00:00-05:00,0.0
2026-01-27 00:00:00-05:00,0.0016818930648585528
2026-01-28 00:00:00-05:00,0.0
2026-01-29 00:00:00-05:00,-0.026190856420232334
2026-01-30 00:00:00-05:00,0.0
