,daily_returns
2024-02-21 00:00:00-05:00,0.0
2024-02-22 00:00:00-05:00,0.0
2024-02-23 00:00:00-05:00,-0.019879156887569027
2024-02-26 00:00:00-05:00,-0.04831895204504888
2024-02-27 00:00:00-05:00,-0.01823015878056722
2024-02-28 00:00:00-05:00,-0.00028844104836500684
2024-02-29 00:00:00-05:00,0.0009842258165715378
2024-03-01 00:00:00-05:00,0.0
2024-03-04 00:00:00-05:00,-0.020542149383726338
2024-03-05 00:00:00-05:00,0.0
2024-03-06 00:00:00-05:00,-0.005998018803144323
2024-03-07 00:00:00-05:00,0.0
2024-03-08 00:00:00-05:00,-0.026012236674120226
2024-03-11 00:00:00-04:00,0.015077168014220765
2024-03-12 00:00:00-04:00,-0.0030523692047164097
2024-03-13 00:00:00-04:00,0.0
2024-03-14 00:00:00-04:00,0.0
2024-03-15 00:00:00-04:00,0.0
2024-03-18 00:00:00-04:00,0.0
2024-03-19 00:00:00-04:00,-0.025363011662932755
2024-03-20 00:00:00-04:00,-0.0057804752515464575
2024-03-21 00:00:00-04:00,0.0
2024-03-22 00:00:00-04:00,-0.0037440626413600686
2024-03-25 00:00:00-04:00,-0.012399790588132231
2024-03-26 00:00:00-04:00,0.0
2024-03-27 00:00:00-04:00,0.003976902841428043
2024-03-28 00:00:00-04:00,0.0
2024-04-01 00:00:00-04:00,0.0
2024-04-02 00:00:00-04:00,0.0
2024-04-03 00:00:00-04:00,0.0
2024-04-04 00:00:00-04:00,0.0
2024-04-05 00:00:00-04:00,0.0
2024-04-08 00:00:00-04:00,0.0
2024-04-09 00:00:00-04:00,-0.03059628698567407
2024-04-10 00:00:00-04:00,0.0
2024-04-11 00:00:00-04:00,-0.012536733060599992
2024-04-12 00:00:00-04:00,0.0
2024-04-15 00:00:00-04:00,0.004718205004987874
2024-04-16 00:00:00-04:00,0.013033623853575982
2024-04-17 00:00:00-04:00,0.0
2024-04-18 00:00:00-04:00,0.0
2024-04-19 00:00:00-04:00,0.0
2024-04-22 00:00:00-04:00,0.0
2024-04-23 00:00:00-04:00,0.0
2024-04-24 00:00:00-04:00,0.014864459964371912
2024-04-25 00:00:00-04:00,0.0
2024-04-26 00:00:00-04:00,0.0
2024-04-29 00:00:00-04:00,0.0
2024-04-30 00:00:00-04:00,-0.0034637598659535973
2024-05-01 00:00:00-04:00,0.0
2024-05-02 00:00:00-04:00,0.0
2024-05-03 00:00:00-04:00,0.0
2024-05-06 00:00:00-04:00,0.0
2024-05-07 00:00:00-04:00,0.006068370424420877
2024-05-08 00:00:00-04:00,0.0
2024-05-09 00:00:00-04:00,-0.007255340284496037
2024-05-10 00:00:00-04:00,0.0
2024-05-13 00:00:00-04:00,0.0
2024-05-14 00:00:00-04:00,0.0
2024-05-15 00:00:00-04:00,0.0
2024-05-16 00:00:00-04:00,0.0
2024-05-17 00:00:00-04:00,0.0
2024-05-20 00:00:00-04:00,0.0
